# 渤海及附近岸线示意图（仅作离线底图示意，非测绘级数据）。
# Segments separated by blank lines. Columns: lon, lat (decimal degrees WGS84).
lon,lat
122.72,38.02
122.55,38.28
122.28,38.62
121.95,38.95
121.68,39.32
121.42,39.68
121.28,40.02
121.32,40.38
121.52,40.62
121.88,40.68
122.18,40.52
122.48,40.22

122.72,40.05
122.85,39.58
122.82,39.12
122.62,38.72
122.35,38.38
122.05,38.12

122.0,38.1
121.4,38.18
120.75,38.32
120.15,38.48
119.55,38.68
119.05,38.92
118.55,39.18
118.15,39.48
117.9,39.82
117.85,40.15
118.05,40.48
118.45,40.75
119.05,40.95
119.75,40.98
120.45,40.88
121.1,40.62
